station_name,operator,address,city,district_area,state,pincode,latitude,longitude,num_chargers,connector_types,power_kw,status,pricing,source_url,coord_precision,corridor
Rasipuram - A2B,Zeon Charging,"Salem-Madurai Rd, Athanur, 637401",Rasipuram,Namakkal,Tamil Nadu,637401.0,11.4924248,78.1536357,2,CCS2 (DC),120 kW,Operational,,https://zeoncharging.com/ev-charging-rasipuram-a2b-zeon-charging-station-salem-madurai-rd-athanur-tamil-nadu-637401-india-637401,verified (site page),Salem-Madurai road (Rasipuram)
Adyar Ananda Bhavan Navakkarai,Zeon Charging,No.2 Mahendra Medu Palakkad - Coimbatore Road,Navakkarai,Navakkarai,Tamil Nadu,641105.0,10.85592,76.86251,1,CCS (Type 2),60.0,Operational,On request,https://www.evchargestation.in/ev-station/adyar-ananda-bhavan-navakkarai-navakkarai-tamil-nadu,verified (site page),Urban/City
Sasthapuri Hotels,Unknown Operator,"9/4 H5, Mysore Ooty Highway, R G Puram",Gudalur,Nilgiri,Tamil Nadu,643212.0,11.49862,76.49398,1,CCS (Type 2),30.0,Operational,On request,https://www.evchargestation.in/ev-station/sasthapuri-hotels-gudalur-tamil-nadu,verified (site page),Urban/City
Lakshmi Retreat,Zeon Charging,Rangiem House 14/51 Club Road,Kotagiri,Nilgiri,Tamil Nadu,643217.0,11.42998,76.86711,1,Type 2 (Tethered Connector),7.4,Operational,21.90/kWh,https://www.evchargestation.in/ev-station/lakshmi-retreat-kotagiri-tamil-nadu,verified (site page),Urban/City
Jio BP Pulse - Mettupalayam,JIO BP Pulse (India),Survey No 720/1A SH 31 Karamadai Kuttaiyur,Mettupalayam,Nilgiri,Tamil Nadu,641301.0,11.27928,76.94778,1,CCS (Type 2),60.0,Operational,20/kWh,https://www.evchargestation.in/ev-station/jio-bp-pulse-mettupalayam-mettupalayam-tamil-nadu,verified (site page),Urban/City
Deccan Park Resort,Zeon Charging,"Theetukal post, Fern Hill, West Mere",Ooty,Nilgiri,Tamil Nadu,643004.0,11.39974,76.66623,1,Type 2 (Tethered Connector),7.4,Operational,On request,https://www.evchargestation.in/ev-station/deccan-park-resort-ooty-tamil-nadu,verified (site page),Urban/City
Sterling Ooty - Fern Hill,Tata Power,"No. 73, Kundah House Road, Fern Hill",Ooty,Nilgiri,Tamil Nadu,643004.0,11.39057,76.69866,1,CCS (Type 2),60.0,Operational,28/kWh,https://www.evchargestation.in/ev-station/sterling-ooty-fern-hill-ooty-tamil-nadu,verified (site page),Urban/City
Hotel Gem Park,Zeon Charging,"Sheddon Rd, Pudumund",Ooty,Nilgiris,Tamil Nadu,643001.0,11.42074,76.70407,2,"CCS (Type 2), Type 2 (Tethered)",24.0,Operational,22.5/kWh,https://www.evchargestation.in/ev-station/hotel-gem-park-ooty-tamil-nadu,verified (site page),Urban/City
Ooty - British Cliff Club Resort,Zeon Charging,"Mount Pleasant Road, Fern Hill, Ooty, 643001",Ooty,Nilgiris,Tamil Nadu,643001.0,11.3990121,76.7040776,1,Type 2 (AC),7.4 kW,Operational,,https://zeoncharging.com/ev-charging--ooty-british-cliff-club-resort-mount-pleasant-road-643001,verified (site page),Ooty
Ooty - Hotel Glanton Manor,Zeon Charging,"Charing Cross, Coonoor Rd, Stone House Area, Ooty, 643001",Ooty,Nilgiris,Tamil Nadu,643001.0,11.4110625,76.7112344,2,CCS2 (DC),120 kW,Operational,,https://zeoncharging.com/ev-charging-ooty-hotel-glanton-manor-cp66-cfh-ooty-tamil-nadu-india-643001,verified (site page),Ooty
Ooty - Ootacamund Club,Zeon Charging,"Tamilagam Road, Ooty, 643001",Ooty,Nilgiris,Tamil Nadu,643001.0,11.4141535,76.6965475,2,Type 2 (AC),22 kW,Operational,,https://zeoncharging.com/ev-charging-ooty-ootacamund-club-tamilagam-road-643001,verified (site page),Ooty
Ooty - Yantra Leisures,Zeon Charging,"Ooty, 643110",Ooty,Nilgiris,Tamil Nadu,643110.0,11.4236125,76.7043594,1,Type 2 (AC),7.4 kW,Operational,,https://zeoncharging.com/ev-charging-ooty-yantra-leisures-cpf3-cpx-ooty-tamil-nadu-india-643110,verified (site page),Ooty
Club Mahindra Resort - Derby Green Ooty,Zeon Charging,"29-49, Baikey Road, Off Ettines Road",Ooty,Ooty,Tamil Nadu,643001.0,11.4023,76.69714,1,Type 2 (Tethered Connector),22.0,Operational,"DC 22.9/kWh, AC 19.5/kWh",https://www.evchargestation.in/ev-station/club-mahindra-resort-derby-green-ooty-ooty-tamil-nadu,verified (site page),Urban/City
Savoy Ooty - IHCL SeleQtions,Tata Power,"77, Sylks Rd, Monterosa Colony",Ooty,Ooty,Tamil Nadu,643001.0,11.41494,76.69288,1,CCS (Type 2),50.0,Operational,21/kWh,https://www.evchargestation.in/ev-station/savoy-ooty-ihcl-seleqtions-ooty-tamil-nadu,verified (site page),Urban/City
Cosmopolitan Club,Relux Electric (India),"15 Madras Thiruvallur High Rd, Padi",Chennai,Padi,Tamil Nadu,600098.0,13.10080944,80.19059824,1,CCS (Type 2),30.0,Operational,Rs.22/-,https://www.evchargestation.in/ev-station/cosmopolitan-club-relux-electric-chennai-tamil-nadu,verified (site page),Urban/City
Saravana Stores - Padi,Relux Electric (India),"15 Madras Thiruvallur High Rd, Padi",Chennai,Padi,Tamil Nadu,600098.0,13.10080944,80.19059824,1,CCS (Type 2),60.0,Operational,Rs.22/-,https://www.evchargestation.in/ev-station/saravana-stores-padi-relux-electric-chennai-tamil-nadu,verified (site page),Urban/City
Hotel VPS Grand - Palani,Relux Electric (India),"23 Ayyampulli Road, Adivaram Rd, Giri Veethi",Palani,Palani,Tamil Nadu,624601.0,10.44303096,77.51617095,1,CCS (Type 2),49.0,Operational,Rs.18/-,https://www.evchargestation.in/ev-station/hotel-vps-grand-palani-palani-tamil-nadu,verified (site page),Urban/City
